"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2021","129.59","131.51","131.53","129.49","9.23M","-0.40%"
"Mar 09, 2021","130.11","128.77","130.91","128.60","11.49M","3.40%"
"Mar 08, 2021","125.83","128.83","129.45","125.70","17.62M","-2.42%"
"Mar 05, 2021","128.95","128.14","129.31","124.71","23.04M","1.89%"
"Mar 04, 2021","126.56","129.02","129.96","124.96","38.48M","-2.21%"
"Mar 03, 2021","129.42","132.12","132.50","129.28","14.94M","-2.52%"
"Mar 02, 2021","132.76","135.09","135.18","132.56","12.40M","-1.59%"
"Mar 01, 2021","134.90","132.91","134.98","132.07","12.39M","3.22%"
"Feb 26, 2021","130.69","131.29","132.70","129.53","17.76M","0.53%"
"Feb 25, 2021","130.00","133.51","134.40","129.42","17.16M","-3.50%"
"Feb 24, 2021","134.71","131.69","134.83","130.68","8.24M","1.53%"
"Feb 23, 2021","132.68","130.84","133.50","128.61","12.10M","-0.28%"
"Feb 22, 2021","133.05","134.38","134.82","132.97","7.13M","-2.21%"
"Feb 19, 2021","136.05","136.95","137.07","135.44","5.84M","-0.15%"
"Feb 18, 2021","136.25","135.50","136.48","134.53","5.48M","-0.49%"
"Feb 17, 2021","136.92","136.87","137.22","135.54","7.64M","-0.88%"
"Feb 16, 2021","138.14","139.14","139.24","137.78","4.86M","-0.32%"
"Feb 12, 2021","138.59","137.52","138.68","137.14","3.38M","0.51%"
"Feb 11, 2021","137.88","137.30","137.97","136.77","3.78M","1.10%"
"Feb 10, 2021","136.38","137.13","137.30","135.22","4.73M","-0.15%"
"Feb 09, 2021","136.58","136.38","137.23","136.34","5.28M","-0.12%"
"Feb 08, 2021","136.74","135.87","136.80","135.68","5.86M","1.05%"
"Feb 05, 2021","135.32","136.03","136.05","134.93","4.71M","-0.22%"
"Feb 04, 2021","135.62","134.21","135.62","133.82","4.07M","1.60%"
"Feb 03, 2021","133.49","134.22","134.50","133.09","5.79M","-0.34%"
"Feb 02, 2021","133.95","133.44","134.34","133.25","4.30M","1.35%"
"Feb 01, 2021","132.16","130.46","132.80","129.50","5.62M","2.51%"
"Jan 29, 2021","128.93","131.38","131.90","128.23","9.51M","-2.36%"
"Jan 28, 2021","132.04","132.17","134.24","131.72","8.09M","0.41%"
"Jan 27, 2021","131.50","133.39","133.82","130.31","12.24M","-1.89%"
"Jan 26, 2021","134.03","134.41","134.62","133.52","4.30M","0.07%"
"Jan 25, 2021","133.94","134.33","134.79","130.70","9.10M","0.84%"
"Jan 22, 2021","132.83","132.78","133.50","132.51","5.62M","-0.38%"
"Jan 21, 2021","133.34","132.35","133.78","131.64","4.47M","1.29%"
"Jan 20, 2021","131.64","130.07","132.10","129.89","5.89M","1.98%"
"Jan 19, 2021","129.08","128.30","129.30","127.85","5.78M","1.30%"
"Jan 15, 2021","127.42","128.55","129.12","127.16","6.32M","-1.03%"
"Jan 14, 2021","128.74","130.20","130.47","128.55","7.81M","-0.88%"
"Jan 13, 2021","129.88","129.23","130.28","128.98","6.80M","0.64%"
"Jan 12, 2021","129.06","129.52","129.69","127.83","8.54M","-0.48%"
"Jan 11, 2021","129.68","129.49","130.60","129.14","8.93M","-0.83%"
"Jan 08, 2021","130.76","130.56","131.11","129.28","6.19M","0.65%"
"Jan 07, 2021","129.92","127.73","130.17","127.68","9.83M","2.70%"
"Jan 06, 2021","126.51","126.89","128.98","126.12","13.63M","-1.72%"
"Jan 05, 2021","128.73","127.61","128.94","127.53","6.18M","0.65%"
"Jan 04, 2021","127.90","130.68","130.71","126.24","10.51M","-1.63%"
